Lepidoptera,Species,Wingspan_mm,Height/Wingstand_mm,Place,Description ,Hindwing,Sex,Number of Images
Butterfly,CLIPPER,84,42,Marinduque,yellow orange ,without tail,female, 125
Butterfly,COMMON JAY,65,37,Marinduque,blue brown ,with tail,female, 180
Butterfly,COMMON LIME,80,40,Marinduque,pale yellow brown dot,without tail,female, 165
Butterfly,COMMON MIME,101.6,50.5,Marinduque,black brown white stripe,without tail,female, 170
Butterfly,COMMON MORMON,110,55,Marinduque,black white red,without tail,female, 195
Butterfly,EMERALD SWALLOW TAIL,100,50,Marinduque,black brown green,with tail,female, 175
Butterfly,GOLDEN BIRDWING,190,85,Marinduque,black yellow ,without tail,female, 210
Butterfly,GRAY GLASSY TIGER ,101.6,50,Marinduque,black red,without tail,female, 150
Butterfly,GREAT EGGFLY,80,40,Marinduque,black purple ,without tail,female, 140
Butterfly,GREAT YELLOW MORMON,107,53.3,Marinduque,black pale yellow red,with tail,female, 185
Butterfly,PAPER KITE,140,70,Marinduque,white black dots,without tail,female, 190
Butterfly,PINK ROSE,63.5,80,Marinduque,black red dots,with tail,female, 155
Butterfly,PLAIN TIGER ,90,45,Marinduque,orange white band,without tail,female, 130
Butterfly,RED LACEWING,226.06,113,Marinduque,orange ,without tail,female, 120
Butterfly,SCARLET MORMON,140,70,Marinduque,black brown white ,without tail,female, 135
Butterfly,TAILED JAY,100,50,Marinduque,green brown blue,with tail,female, 160
Moth,ATLAS MOTH,203.2,101,Marinduque,brown orange,without tail,female, 200
Moth,GIANT SILK MOTH,180,90,Marinduque,brown yellow,without tail,female, 145
Butterfly,BATWING ,101.6,50,Marinduque,black red,without tail,female, 150
