,Species,Number of Images
0,Butterfly-Clippers,5
1,Butterfly-Common Jay,0
2,Butterfly-Common Lime,56
3,Butterfly-Common Mime,0
4,Butterfly-Common Mormon,0
5,Butterfly-Emerald Swallowtail,0
6,BUtterfly-Golden Birdwing,0
7,Butterfly-Gray Glassy Tiger,0
8,Butterfly-Great Eggfly,0
9,Butterfly-Great Yellow Mormon,0
10,Butterfly-Paper Kite,0
11,Butterfly-Pink Rose,0
12,Butterfly-Plain Tiger,0
13,Butterfly-Red Lacewing,0
14,Butterfly-Scarlet Mormon,0
15,Butterfly-Tailed Jay,0
16,Moth-Atlas,0
17,Moth-Giant Silk,0
