disease_name,score,date_time,location,image_path,treatment_info
Healthy,86.60889267921448,2025-06-11 12:04:53,"Manila, Metro Manila, Philippines",agamemnon_larvae (67).jpg,Larva appears healthy with no signs of disease.
Gnathostomiasis,99.8888909816742,2025-06-11 12:05:36,"Manila, Metro Manila, Philippines",gnats_bites (7).jpg,"Parasitic infection. Isolate, remove parasites if visible, improve hygiene."
Gnathostomiasis,99.94480013847352,2025-06-11 12:05:42,"Manila, Metro Manila, Philippines",gnats_bites (17).jpg,"Parasitic infection. Isolate, remove parasites if visible, improve hygiene."
Gnathostomiasis,99.6885597705841,2025-06-11 12:05:47,"Manila, Metro Manila, Philippines",gnats_bites (14).jpg,"Parasitic infection. Isolate, remove parasites if visible, improve hygiene."
Anaphylaxis Infection,99.99943971633913,2025-06-11 12:05:58,"Manila, Metro Manila, Philippines",ants_bites (18).jpg,Seek veterinary advice; isolate infected larvae. No specific treatment for severe cases.
Anaphylaxis Infection,99.9942421913147,2025-06-11 12:06:04,"Manila, Metro Manila, Philippines",ants_bites (14).jpg,Seek veterinary advice; isolate infected larvae. No specific treatment for severe cases.
Nucleopolyhedrosis,99.02614951133728,2025-06-11 12:06:54,"Manila, Metro Manila, Philippines",IMG_20250414_091637.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Nucleopolyhedrosis,99.81566071510316,2025-06-11 12:07:00,"Manila, Metro Manila, Philippines",IMG_20250414_091540.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Nucleopolyhedrosis,99.99773502349854,2025-06-11 12:07:07,"Manila, Metro Manila, Philippines",IMG_20250414_091719.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Nucleopolyhedrosis,72.68989086151123,2025-06-11 12:07:15,"Manila, Metro Manila, Philippines",IMG_20250414_091706.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Nucleopolyhedrosis,95.91764211654665,2025-06-11 12:07:24,"Manila, Metro Manila, Philippines",IMG_20250414_091710.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Gnathostomiasis,98.76821637153624,2025-06-11 15:35:58,"Manila, Metro Manila, Philippines",gnats_bites (10).jpg,"Parasitic infection. Isolate, remove parasites if visible, improve hygiene."
Nucleopolyhedrosis,99.8779594898224,2025-06-11 15:36:06,"Manila, Metro Manila, Philippines",IMG_20250414_091543.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Nucleopolyhedrosis,99.02614951133728,2025-06-11 15:36:23,"Manila, Metro Manila, Philippines",IMG_20250414_091637.jpg,Highly contagious viral disease. Isolate and destroy infected larvae to prevent spread. Disinfect rearing areas.
Anaphylaxis Infection,99.99918937683105,2025-06-11 22:46:31,"Manila, Metro Manila, Philippines",ants_bites (7).jpg,Seek veterinary advice; isolate infected larvae. No specific treatment for severe cases.
Anaphylaxis Infection,99.99946355819702,2025-06-11 22:46:38,"Manila, Metro Manila, Philippines",ants_bites (5).jpg,Seek veterinary advice; isolate infected larvae. No specific treatment for severe cases.
Gnathostomiasis,99.91021156311035,2025-06-11 22:46:50,"Manila, Metro Manila, Philippines",gnats_bites (21).jpg,"Parasitic infection. Isolate, remove parasites if visible, improve hygiene."
Gnathostomiasis,99.97523427009583,2025-06-11 22:46:55,"Manila, Metro Manila, Philippines",gnats_bites (33).jpg,"Parasitic infection. Isolate, remove parasites if visible, improve hygiene."
