defects_name,score,date_time,location,image_path,quality_info
Stretch abdomen,74.44981336593628,2025-06-11 11:14:10,"Manila, Metro Manila, Philippines",10_stretch_mark.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Old Pupa,98.69958758354187,2025-06-11 11:55:39,"Manila, Metro Manila, Philippines",agamemnon_healthy_eggs (11).jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Deformed body,64.21892642974854,2025-06-11 12:08:07,"Manila, Metro Manila, Philippines",PupaeCommonLime12.jpg,"Physical deformities, may indicate poor health or environmental stress."
Old Pupa,60.89170575141907,2025-06-11 12:08:23,"Manila, Metro Manila, Philippines",sample_overbend.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Overbend,50.72406530380249,2025-06-11 12:11:34,"Manila, Metro Manila, Philippines",10_over_bend.jpg,"Abnormal curvature, can impede proper development."
Old Pupa,60.89170575141907,2025-06-11 12:11:41,"Manila, Metro Manila, Philippines",sample_overbend.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Overbend,50.00724792480469,2025-06-11 12:11:51,"Manila, Metro Manila, Philippines",12_over_bend.jpg,"Abnormal curvature, can impede proper development."
Stretch abdomen,53.68314981460571,2025-06-11 12:11:56,"Manila, Metro Manila, Philippines",11_over_bend.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,50.036776065826416,2025-06-11 12:12:08,"Manila, Metro Manila, Philippines",15_over_bend.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,72.11810350418091,2025-06-11 12:12:17,"Manila, Metro Manila, Philippines",stretch_mark24.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,79.32443618774414,2025-06-11 12:12:23,"Manila, Metro Manila, Philippines",stretch_mark21.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,83.87797474861145,2025-06-11 12:12:29,"Manila, Metro Manila, Philippines",stretch_mark22.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,91.08825325965881,2025-06-11 12:12:34,"Manila, Metro Manila, Philippines",Smaple_stretch_mark.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,68.72596740722656,2025-06-11 12:12:41,"Manila, Metro Manila, Philippines",stretch_mark26.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,78.00962328910828,2025-06-11 12:12:46,"Manila, Metro Manila, Philippines",stretch_mark25.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,88.83197903633118,2025-06-11 12:12:56,"Manila, Metro Manila, Philippines",stretch_mark31.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,74.68705177307129,2025-06-11 12:18:17,"Manila, Metro Manila, Philippines",11_stretch_mark.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Healthy Pupae,89.25712704658508,2025-06-11 12:18:26,"Manila, Metro Manila, Philippines",IMG_20231231_115146.jpg,"No visible defects, good potential for adult emergence."
Old Pupa,87.51700520515442,2025-06-11 12:20:14,"Manila, Metro Manila, Philippines",IMG_20231231_115152.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Healthy Pupae,75.59546232223511,2025-06-11 12:20:24,"Manila, Metro Manila, Philippines",IMG_20231231_115154.jpg,"No visible defects, good potential for adult emergence."
Ant bites,83.0504834651947,2025-06-11 12:20:38,"Manila, Metro Manila, Philippines",antsbite17.jpg,"Indicates ant damage, can lead to pupae death or malformation."
Ant bites,100.0,2025-06-11 12:22:06,"Manila, Metro Manila, Philippines",IMG_20231231_115151.jpg,"Indicates ant damage, can lead to pupae death or malformation."
Ant bites,99.9984622001648,2025-06-11 12:22:12,"Manila, Metro Manila, Philippines",IMG_20231231_115154.jpg,"Indicates ant damage, can lead to pupae death or malformation."
Ant bites,99.99983310699463,2025-06-11 12:22:22,"Manila, Metro Manila, Philippines",antsbite17.jpg,"Indicates ant damage, can lead to pupae death or malformation."
Old Pupa,64.52311873435974,2025-06-11 12:22:32,"Manila, Metro Manila, Philippines",Pupae_chyrssipus old2.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.74427223205566,2025-06-11 12:22:39,"Manila, Metro Manila, Philippines",91aec0fd-8af6-4b70-82f3-2be60a349650.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.78512525558472,2025-06-11 12:22:43,"Manila, Metro Manila, Philippines",4dcc3df5-cf23-4300-97d1-e7416c2401ae.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.53952431678772,2025-06-11 12:22:52,"Manila, Metro Manila, Philippines",99447097-183b-445f-805a-777225110d60 (1).jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.15518760681152,2025-06-11 12:22:58,"Manila, Metro Manila, Philippines",b4e48deb-6c7b-4033-9840-f5faca9b3953.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Healthy Pupae,76.87885761260986,2025-06-11 12:23:10,"Manila, Metro Manila, Philippines",PupaeCommonLime16.jpg,"No visible defects, good potential for adult emergence."
Healthy Pupae,90.63556790351868,2025-06-11 12:23:15,"Manila, Metro Manila, Philippines",Pupae_PlainTiger.jpg,"No visible defects, good potential for adult emergence."
Healthy Pupae,99.3094801902771,2025-06-11 12:23:21,"Manila, Metro Manila, Philippines",PupaeCommonLime23.jpg,"No visible defects, good potential for adult emergence."
Overbend,92.64755845069885,2025-06-11 12:23:28,"Manila, Metro Manila, Philippines",Pupae_PinkRose1.jpeg,"Abnormal curvature, can impede proper development."
Healthy Pupae,98.52679967880249,2025-06-11 12:23:37,"Manila, Metro Manila, Philippines",PupaeCommonLime20.jpg,"No visible defects, good potential for adult emergence."
Deformed body,94.57845687866211,2025-06-11 12:23:46,"Manila, Metro Manila, Philippines",deformedBody89.jpg,"Physical deformities, may indicate poor health or environmental stress."
Deformed body,99.09709692001343,2025-06-11 12:23:53,"Manila, Metro Manila, Philippines",deformedBody92.jpg,"Physical deformities, may indicate poor health or environmental stress."
Deformed body,97.51450419425964,2025-06-11 12:24:00,"Manila, Metro Manila, Philippines",deformedBody97.jpg,"Physical deformities, may indicate poor health or environmental stress."
Deformed body,98.94686341285706,2025-06-11 12:24:07,"Manila, Metro Manila, Philippines",deformedBody104.jpg,"Physical deformities, may indicate poor health or environmental stress."
Overbend,72.62572646141052,2025-06-11 12:24:18,"Manila, Metro Manila, Philippines",13_over_bend.jpg,"Abnormal curvature, can impede proper development."
Overbend,95.91207504272461,2025-06-11 12:24:25,"Manila, Metro Manila, Philippines",21_over_bend.jpg,"Abnormal curvature, can impede proper development."
Overbend,98.22989106178284,2025-06-11 12:24:31,"Manila, Metro Manila, Philippines",sample_overbend.jpg,"Abnormal curvature, can impede proper development."
Ant bites,99.99600648880005,2025-06-11 15:06:15,"Manila, Metro Manila, Philippines",gnats_bites (7).jpg,"Indicates ant damage, can lead to pupae death or malformation."
Stretch abdomen,62.025439739227295,2025-06-11 15:07:01,"Manila, Metro Manila, Philippines",8_over_bend.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Overbend,95.91207504272461,2025-06-11 15:07:13,"Manila, Metro Manila, Philippines",21_over_bend.jpg,"Abnormal curvature, can impede proper development."
Stretch abdomen,62.025439739227295,2025-06-11 15:07:32,"Manila, Metro Manila, Philippines",15_over_bend.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,96.94375395774841,2025-06-11 15:14:27,"Manila, Metro Manila, Philippines",10_stretch_mark.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Stretch abdomen,91.1414623260498,2025-06-11 15:14:38,"Manila, Metro Manila, Philippines",stretch_mark26.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
Old Pupa,95.94366550445557,2025-06-11 15:14:44,"Manila, Metro Manila, Philippines",8c7ebb6b-390f-4418-8d07-c133cda5b832.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.44650530815125,2025-06-11 15:14:50,"Manila, Metro Manila, Philippines",3fcb256f-6570-454a-bc21-479aa353c20a.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
