class_name,score,date_time,location,image_path,stages_info
Pupae,99.9032735824585,2025-06-11 11:18:28,"Manila, Metro Manila, Philippines",4_stretch_mark.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.99476671218872,2025-06-11 11:19:42,"Manila, Metro Manila, Philippines",8_stretch_mark.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Larvae,99.13609623908997,2025-06-11 11:19:56,"Manila, Metro Manila, Philippines",agamemnon_larvae (68).jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,96.9882607460022,2025-06-11 11:53:00,"Manila, Metro Manila, Philippines",agamemnon_healthy_eggs (4).jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,79.02701497077942,2025-06-11 11:53:14,"Manila, Metro Manila, Philippines",agamemnon_healthy_eggs (12).jpg,"Caterpillar stage, primary feeding and growth phase."
Eggs,91.46994352340698,2025-06-11 11:56:27,"Manila, Metro Manila, Philippines",agamemnon_healthy_eggs (10).jpg,"Early developmental stage, typically laid on host plants."
Butterfly,99.99878406524658,2025-06-11 11:56:39,"Manila, Metro Manila, Philippines",461076767_8750804954931091_2509877814349512280_n.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.9937653541565,2025-06-11 11:56:47,"Manila, Metro Manila, Philippines",461194064_8750805978264322_6524459825078014011_n (1).jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.99929666519165,2025-06-11 11:58:11,"Manila, Metro Manila, Philippines",agamemnon_female (258).jpg,"Reproductive stage, winged insect capable of flight."
Larvae,96.54723405838013,2025-06-11 11:58:22,"Manila, Metro Manila, Philippines",agamemnon_larvae (72).jpg,"Caterpillar stage, primary feeding and growth phase."
Pupae,68.54720115661621,2025-06-11 11:58:27,"Manila, Metro Manila, Philippines",agamemnon_larvae (82).jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Larvae,99.29660558700562,2025-06-11 11:58:38,"Manila, Metro Manila, Philippines",agamemnon_larvae (69).jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,97.00345993041992,2025-06-11 11:58:43,"Manila, Metro Manila, Philippines",agamemnon_larvae (71).jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,99.97205138206482,2025-06-11 11:58:48,"Manila, Metro Manila, Philippines",461327177_1262195178300235_4586474169760590502_n.jpg,"Caterpillar stage, primary feeding and growth phase."
Pupae,99.80436563491821,2025-06-11 11:59:04,"Manila, Metro Manila, Philippines",5_stretch_mark.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.74652528762817,2025-06-11 11:59:33,"Manila, Metro Manila, Philippines",12_over_bend.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.327951669693,2025-06-11 11:59:41,"Manila, Metro Manila, Philippines",aga_pupae.jpeg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.99761581420898,2025-06-11 12:25:39,"Manila, Metro Manila, Philippines",9_over_bend.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,98.55402112007141,2025-06-11 12:25:46,"Manila, Metro Manila, Philippines",22_over_bend.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Butterfly,98.28341007232666,2025-06-11 12:26:05,"Manila, Metro Manila, Philippines",gnats_bites (7).jpg,"Reproductive stage, winged insect capable of flight."
Larvae,89.39021229743958,2025-06-11 12:26:16,"Manila, Metro Manila, Philippines",IMG_20250414_091540.jpg,"Caterpillar stage, primary feeding and growth phase."
Butterfly,51.994919776916504,2025-06-11 12:26:22,"Manila, Metro Manila, Philippines",IMG_20250414_091612.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,55.440062284469604,2025-06-11 12:26:29,"Manila, Metro Manila, Philippines",IMG_20250414_091627.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-11 15:03:27,"Manila, Metro Manila, Philippines",449121412_484288060938817_4108666721494838517_n.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.99709129333496,2025-06-11 15:03:38,"Manila, Metro Manila, Philippines",Pink Rose 13.jpeg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.99798536300659,2025-06-11 15:03:42,"Manila, Metro Manila, Philippines",Pink Rose 23.jpeg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-11 15:04:05,"Manila, Metro Manila, Philippines",IMG_20250324_080830.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.94617104530334,2025-06-11 15:04:13,"Manila, Metro Manila, Philippines",IMG_20250324_080934.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,58.37290287017822,2025-06-11 15:04:46,"Manila, Metro Manila, Philippines",IMG_20250324_081010.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-11 15:05:01,"Manila, Metro Manila, Philippines",Great Eggfly 9.jpg,"Reproductive stage, winged insect capable of flight."
